| Stage  | Work package                                | Priority |
| ------ | ------------------------------------------- | -------: |
| P10-01 | External-service foundation & configuration | Critical |
| P10-02 | Real Jitsi consultation                     | Critical |
| P10-03 | Stripe payments                             | Critical |
| P10-04 | noKash payments                             | Critical |
| P10-05 | Email notification system                   |     High |
| P10-06 | SMS evaluation/integration                  |   Medium |
| P10-07 | Secure medical-file storage                 | Critical |
| P10-08 | Frontend integration & UX hardening         | Critical |
| P10-09 | Failure handling + consistency              | Critical |
| P10-10 | Full integration/regression/beta validation | Critical |
